Flora_Botanical_Name,Flora_Name,Flora_AKA,Flora_Family,Flora_Origin,Flora_Geo_Range,Flora_Zones,Flora_Habitat,Flora_Media_1,Flora_Media_2,Flora_Height,Flora_Height Details,Flora_Image_1,Flora_Image_2,Flora_Image_3,Flora_Conservation_Status,Flora_Conservation_Status_SVGKey,Flora_Description,Flora_Fun_Facts,Flora_Ecological,Flora_Medicinal,Flora_Culinary,Flora_Cultural,Flora_Parts,Flora_Button_Media,Flora_Flowering_Key,Flora_Type_Key,Flora_HoHLocation,Flora_Quiz_Question,Flora_Quiz_OptionA,Flora_Quiz_OptionB,Flora_Quiz_OptionC,Flora_Quiz_OptionD,Flora_Quiz_Correct
Ficus amplissima,Indian Bat Tree,Pimpli,Moraceae,Native,"The Indian Bat Tree is native to the Indian subcontinent, particularly India and Sri Lanka.","India, Sri_Lanka","Commonly found in tropical and subtropical regions, dry deciduous forests and hilly terrains; this tree adapts well to varied soil conditions but prefers well-drained loamy soils and full sunlight.",Animations\Flora\Single Plants\Ficus_amplissima.mp4,Images\Illustrations\Trees\Ficus_amplissima.webp,15 - 30 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Ficus_amplissima_01.webp,Images\Flora\Ficus_amplissima_02.webp,Images\Flora\Ficus_amplissima_03.webp,Least Concern,LC,"Indian Bat Tree is a medium to large deciduous fig tree growing about 10 - 20 meters tall, with a broad, spreading crown and long, drooping branchlets. The bark is smooth and pale grey, while the leaves are large, oval to lance-shaped, with a glossy green upper surface and a paler underside. Small figs grow in pairs from the leaf axils and change from green to reddish or purple as they ripen. Mature trees often develop aerial and prop roots that support heavy horizontal branches, giving them a banyan-like appearance and great structural strength.","Indian Bat Tree is considered a keystone species because its figs provide food to wildlife almost throughout the year, especially birds and bats.","The tree supports a wide range of wildlife, including birds, bats, bees, insects and fig wasps that are essential for pollination. Its figs are a dependable food source for fruit-eating animals, making it vital for ecosystem stability. The dense canopy provides shade and improves local microclimates, while its strong root system helps prevent soil erosion. Its drought tolerance makes it suitable for avenue and roadside planting.","In traditional medicine, leaf extracts are used for skin ailments, ulcers and inflammation. The bark, valued for its astringent properties, is used to manage diarrhea, dysentery and wound healing. Latex is applied externally for joint pain and swelling and ripe fruits are sometimes used to ease digestive discomfort.","The figs are not widely eaten due to their mild taste, though they are occasionally consumed locally when ripe. Young leaves may be used in some indigenous preparations.","The tree is considered sacred in certain Indian traditions and is often planted near temples and community spaces. It is valued for providing deep shade, supporting biodiversity and maintaining ecological balance in rural and semi-urban landscapes.","Bark: Smooth and pale grey; used medicinally for digestive and wound-related treatments.

Leaves: Large and glossy; used in traditional remedies and help create dense shade.

Flowers & Fruit: Tiny flowers enclosed within figs; paired figs ripen from green to reddish or purple and feed many animals.",Animations\Flora\Buttons\Ficus_amplissima.webp,Yes,Evergreen,Villa Royal ,Why is the Indian Bat Tree considered ecologically important?,It grows faster,It produces edible timber,It flowers only once a year,It provides food for wildlife,D
Ficus benghalensis,Banyan Tree,Vad,Moraceae,Native,"The Banyan tree is native to the Indian subcontinent, gowing in India, Bangladesh, Sri Lanka, Nepal and Myanmar. ","India, Bangladesh, Sri_Lanka, Nepal, Myanmar","The Banyan tree thrives in tropical and subtropical regions, plains and foothills, moist and dry deciduous forests as well as in urban landscapes, village squares and temple premises.",Animations\Flora\Single Plants\Ficus_benghalensis.mp4,Images\Illustrations\Trees\Ficus_benghalensis.webp,20 - 30 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Ficus_benghalensis_01.webp,Images\Flora\Ficus_benghalensis_02.webp,Images\Flora\Ficus_benghalensis_03.webp,Least Concern,LC,"Banyan Tree is a massive evergreen fig tree best known for its remarkable aerial prop roots that grow down from its branches and thicken into woody trunks. This allows the tree to spread outward over a very large area, often forming a structure that looks like a forest made of many connected trunks. Mature trees usually reach 20 - 30 meters in height, while their crown can spread across hundreds of meters. The leaves are large, leathery and glossy green. Small, round figs develop on the tree and change from green to red as they ripen.","The Banyan Tree is the National Tree of India and the famous Great Banyan in Kolkata spreads over more than three acres, resembling a natural forest.","Banyan Tree is a keystone species that supports a complex ecosystem of birds, bats, insects, epiphytes and small animals. Its figs provide food for wildlife, while the vast canopy creates cool, shaded habitats beneath. The extensive root system stabilizes soil and helps maintain landscape balance. Due to its huge biomass, the tree also acts as an important carbon sink.","In Ayurveda, Siddha and folk medicine, the bark is used as an astringent to treat diabetes, skin diseases and inflammation. Leaves are applied as poultices for wounds, ulcers and joint pain. Latex is used for cracked heels, toothache and skin infections. Fruits are used as a mild laxative and aerial roots are used in traditional remedies for gynecological disorders.","The Banyan Tree fruit, or figs are not commonly eaten but may be consumed locally when ripe. Tender leaves are sometimes included in medicinal food preparations rather than regular diets.","Highly revered in Hindu culture, the Banyan Tree symbolizes eternity, stability and immortality. It is sacred to deities such as Lord Shiva and Lord Vishnu and is central to rituals like Vat Savitri and Bargad Puja. Often planted near temples and village squares, it serves as a place for gatherings, worship and community life.","Bark: Thick and astringent; widely used in traditional medicine.

Leaves: Large and leathery; used for poultices and medicinal preparations.

Flowers & Fruit: Tiny flowers enclosed within figs; figs ripen from green to red and feed many wildlife species.",Animations\Flora\Buttons\Ficus_benghalensis.webp,Yes,Evergreen,Kavesar Garden,What allows the Banyan Tree to spread over such a large area?,Fast-growing seeds,Underground runners,Aerial roots form new trunks,Wind-driven pollination,C
Ficus racemosa,Cluster Fig,"Umbar, Audumbar, Gular",Moraceae,Native,"Native to India, Sri Lanka, Bangladesh and Southeast Asia, the Cluster Fig is widely distributed throughout the tropical and subtropical regions of Asia, Australia and the Pacific Islands. ","India, Sri_Lanka, Bangladesh, Southeast_Asia, Southern_China, Northern_Australia, Papua_NG","This tree will thrive in well-drained, alluvial soils and humid climates up to 1,200 m elevation. Cluster Fig is often planted near temples, along roadsides and at the edge of agricultural fields for shade and spiritual purposes.",Animations\Flora\Single Plants\Ficus_racemosa.mp4,Images\Illustrations\Trees\Ficus_racemosa.webp,15 - 20 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Ficus_racemosa_01.webp,Images\Flora\Ficus_racemosa_02.webp,Images\Flora\Ficus_racemosa_03.webp,Least Concern,LC,"Cluster Fig is a large deciduous tree growing about 15 - 20 meters tall, with a wide-spreading crown and smooth greyish bark that becomes flaky as the tree matures. Its most distinctive feature is cauliflory, where the fig fruits grow in dense clusters directly from the trunk and main branches rather than from twigs. The leaves are oval, leathery and arranged to form a broad canopy. The figs are green when unripe and gradually turn reddish to purple as they ripen. Tiny flowers develop inside the figs and are pollinated by specific fig wasps, with which the tree shares a close ecological relationship. The soft, light-coloured wood is sometimes used for packing boxes and simple agricultural tools.","Cluster Fig is often called the ""Wildlife Cafe"" because its figs attract and feed dozens of species of birds, bats and mammals throughout the year.","This tree is a keystone species, providing a near year-round food supply for birds, bats, monkeys, insects and other wildlife. Its unique relationship with fig wasps is essential for pollination and seed production. Commonly found near rivers and streams, it helps stabilize soil and prevent erosion, supporting forest regeneration and healthy riparian ecosystems.","Highly valued in Ayurvedic, Siddha and Unani medicine, almost every part of the Cluster Fig is used. Bark decoctions treat diabetes, diarrhea, dysentery and ulcers due to their astringent and anti-inflammatory properties. Fruits act as digestive tonics, while unripe figs help manage stomach disorders. Latex is applied externally to wounds, cuts and insect bites. Scientific studies note antioxidant, antimicrobial and blood sugar - regulating properties.","Ripe figs are edible and mildly sweet, eaten fresh or dried. Young, unripe fruits are cooked as vegetables in some rural cuisines of India and Sri Lanka. Leaves and fruits are also used as fodder and the figs form an important food source for wildlife.","Known as Udumbara in ancient texts, the tree is mentioned in the Rig Veda and Buddhist scriptures. In Hinduism, it is sacred to Lord Dattatreya and Lord Vishnu, while in Buddhism it symbolizes fertility, prosperity and wisdom. Because of its cultural reverence and ecological importance, it is often protected in sacred groves and conservation programs.","Bark: Smooth to flaky; used in medicinal decoctions for digestive and metabolic disorders.

Leaves: Oval and leathery; provide shade and are used as fodder and in traditional remedies.

Flowers & Fruit: Tiny flowers develop inside figs; clustered fruits grow on the trunk, ripen from green to reddish-purple and feed a wide range of animals.",Animations\Flora\Buttons\Ficus_racemosa.webp,Yes,Evergreen,Kavesar Garden,What makes the Cluster Fig tree ecologically unique?,It produces the largest figs ,Clustered fruits on trunk,It flowers once every decade,Its leaves are evergreen,B
Ficus religiosa,Peepal,Sacred Fig,Moraceae,Native,"Native to the Indian subcontinent, the Peepal or Sacred Fig grows abundantly in India, Nepal, Sri Lanka, Bangladesh and Myanmar and has been introduced to Southeast Asia, China and other tropical regions worldwide.","India, Nepal, Sri_Lanka, Bangladesh, Myanmar, China, South_Asia, Southeast_Asia","Peepal grows well in tropical and subtropical climates, preferring well-drained alluvial soils but tolerating a wide range of conditions, including urban environments up to 1,500 m elevation. It is often planted along roadsides, near temples and in village centers.",Animations\Flora\Single Plants\Ficus_religiosa.mp4,Images\Illustrations\Trees\Ficus_religiosa.webp,15 - 30 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Ficus_religiosa_01.webp,,,Least Concern,LC,"Peepal is a large, long-lived deciduous fig tree that grows about 20 - 30 meters tall, with a massive trunk and a wide, spreading crown. It is easily recognized by its heart-shaped leaves with long, tapering tips that flutter constantly, even in light air movement. The bark is smooth and greyish-brown, becoming fissured with age. Small, round figs develop on the tree, turning from green to purple when ripe. These fruits are an important food source for birds. The tree is admired not only for its size and form but also for its deep spiritual, ecological and medicinal importance.","The Peepal tree can live for several centuries and some trees in India are believed to be over 2,000 years old.","Peepal is a keystone species that supports a wide range of birds, bats, insects and other organisms. Its dense canopy provides shade and improves local microclimates. The figs offer food to wildlife, while the tree's large root system helps stabilize soil. It is also known for releasing oxygen even at night, making it a preferred tree for roadside and temple plantations.","In Ayurveda, Unani and folk medicine, the bark is used to treat diabetes, asthma, ulcers and inflammation. Leaf extracts are applied for wound healing, constipation and skin disorders. The fruits have mild laxative and cooling properties. The milky latex is used externally for boils and skin infections. Modern studies support its antioxidant, anti-inflammatory and antimicrobial effects.",The ripe figs are edible but not commonly eaten in large quantities and are more often used as fodder. Tender leaves are sometimes cooked or used in traditional herbal infusions.,"Peepal is sacred in Hinduism, Buddhism and Jainism. It is associated with Lord Vishnu in Hindu tradition and revered as the Bodhi Tree in Buddhism, under which Gautama Buddha attained enlightenment. Planted near temples and monasteries, it symbolizes wisdom, longevity, enlightenment and the balance between nature and spirituality.","Bark: Smooth to fissured; used in decoctions for metabolic and inflammatory conditions.

Leaves: Heart-shaped with long tapering tips; used medicinally and known for constant movement.

Flowers & Fruit: Tiny flowers enclosed within figs; figs ripen from green to purple and provide food for wildlife.",Animations\Flora\Buttons\Ficus_religiosa.webp,Yes,Deciduous,Kavesar Garden,What is the Peepal tree known for?,Releases oxygen at night,Supports birds and insects,Grows in desters,Timber use only,B
Gmelina arborea,White Teak,"Shivan, Gamhar",Lamiaceae,Native,"White Teak is native to South and Southeast Asia, particularly India, Nepal, Bangladesh, Myanmar, Thailand, Laos, Cambodia and Vietnam. The species has been introduced in Africa, the Philippines, Indonesia and the Pacific islands for timber production and afforestation projects.","India, Nepal, Bangladesh, Myanmar, Thailand, Laos, Cambodia, Vietnam, Philippines, Indonesia, Papua_NG, Africa","It thrives in moist and dry deciduous forests, preferring well-drained loamy or sandy soils and a warm, tropical climate. Since White Teak can tolerate moderate drought, it is also suitable for plantations in degraded lands.",Animations\Flora\Single Plants\Gmelina_arborea.mp4,Images\Illustrations\Trees\Gmelina_arborea.webp,~ 30 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Gmelina_arborea_01.webp,Images\Flora\Gmelina_arborea_02.webp,Images\Flora\Gmelina_arborea_03.webp,Least Concern,LC,"White Teak is a fast-growing deciduous tree that can reach up to about 30 meters in height, with a straight, cylindrical trunk and a broad, rounded crown. The bark is greyish-white to pale brown and becomes scaly as the tree matures. Leaves are large, opposite, heart-shaped and softly hairy on the underside. The tree produces showy yellow flowers with brown or orange markings in clusters, which are highly attractive to insects. Oval, fleshy fruits ripen to yellow and contain one or two seeds. The light, durable and easily workable wood makes this tree one of the most important timber species in tropical Asia, widely used in plantations, agroforestry and landscaping.","White Teak is among the fastest-growing timber trees and can reach harvestable size within 10 - 15 years, making it highly valued in commercial forestry.","The flowers attract bees and butterflies, supporting pollination and honey production. As a soil-binding species, the tree helps prevent erosion and improves soil fertility through leaf litter. Its rapid growth and dense canopy make it useful in reforestation and as a carbon sink, contributing to climate resilience.","Known as Gambhari in Ayurveda, the tree is a key ingredient in Dashamoola, a classical formulation for pain, inflammation and rejuvenation. Roots, leaves and fruits are used for fevers, headaches, digestive and urinary disorders. Leaf juice is applied to wounds and skin irritations, while the fruit pulp acts as a mild laxative. Modern studies note anti-inflammatory, antioxidant, hepatoprotective and antimicrobial properties.","The ripe fruit is edible, though mildly astringent and is sometimes eaten as a supplementary food in rural areas. Young leaves and shoots are also used as nutritious fodder for livestock.","In Hindu traditions, White Teak is associated with healing and vitality due to its medicinal role in Ayurveda. Its timber supports rural craftsmanship and industries such as furniture, musical instruments, plywood and paper pulp. Widely planted along roadsides and parks, it combines cultural value with practical utility.","Bark: Greyish-white and scaly; used in traditional medicine and valued for timber identification.

Leaves: Large, heart-shaped and hairy beneath; used medicinally and contribute to soil enrichment.

Flowers & Fruit: Yellow, insect-attracting flowers bloom in clusters; oval fruits ripen yellow and contain one or two seeds.",Animations\Flora\Buttons\Gmelina_arborea.webp,Yes,Deciduous,Kavesar Garden,Why is White Teak widely used in reforestation and plantations?,Edible leaves,Slow growth,Fragrant flowers,Rapid growth and timber,D
Holoptelea integrifolia,Indian Elm,"Chilbil, Waval",Ulmaceae,Native,"The Indian Elm is native to South and Southeast Asia, growing across India, Nepal, Sri Lanka, Bangladesh, Myanmar and Thailand. In India, it is found throughout the plains and foothills, up to altitudes of about 1200 meters, especially in dry deciduous and mixed forests. ","India, Nepal, Sri_Lanka, Bangladesh, Myanmar, Thailand, South_Asia, Southeast_Asia","This tree thrives in well-drained loamy or alluvial soils and adapts well to arid and semi-arid conditions and is often grown along roadsides, field boundaries and in common village lands.",Animations\Flora\Single Plants\Holoptelea_integrifolia.mp4,Images\Illustrations\Trees\Holoptelea_integrifolia.webp,20 - 25 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Holoptelea_integrifolia_01.webp,Images\Flora\Holoptelea_integrifolia_02.webp,Images\Flora\Holoptelea_integrifolia_03.webp,Least Concern,LC,"Indian Elm is a large deciduous tree growing about 18 - 25 meters tall, with a broad, spreading crown and rough greyish bark that peels off in irregular scales. The leaves are simple, alternate and elliptic to oval in shape, with serrated edges. They turn yellow before shedding completely during the dry season, leaving the tree bare until new growth appears with the rains. Small greenish-yellow flowers grow in clusters between February and April. These are followed by flat, circular, winged fruits called samaras, which are light and paper-like, allowing them to be carried easily by the wind. The wood is coarse-grained and commonly used for packing cases, agricultural tools and firewood.","In rural India, Indian Elm is often seen as a natural marker of seasonal change, shedding its leaves before summer and flowering just before the monsoon arrives.","The Indian Elm's winged fruits aid wide wind dispersal, helping it spread across dry landscapes. Its deep roots and hardy nature help stabilize soil and prevent erosion. Indian Elm supports birds and insects and contributes to carbon storage, making it valuable for afforestation and roadside planting in dry and tropical regions.","Widely used in Ayurvedic, Siddha and Unani medicine, the bark is applied for skin diseases, eczema, ringworm and ulcers. Leaves are used as poultices for swelling, joint pain and skin infections. Seeds and bark decoctions treat digestive disorders, intestinal worms and rheumatism. The plant contains alkaloids, flavonoids and tannins that contribute to its healing properties.","The Indian Elm is not used as a regular food source. However, young leaves are sometimes included in traditional herbal preparations and used as fodder for livestock in rural areas.","Known as Chirabilva in classical Ayurvedic texts, Indian Elm is regarded as a healing and resilient tree in Indian folklore. Its adaptability, shade and drought tolerance make it important for sustainable forestry, rural landscapes and ecological restoration.","Bark: Rough and exfoliating; used medicinally and sometimes as a natural adhesive.

Leaves: Simple and serrated; shed completely in the dry season and used in poultices and herbal remedies.

Flowers & Fruit: Small greenish-yellow flowers bloom before the rains; flat, winged samaras disperse by wind.",Animations\Flora\Buttons\Holoptelea_integrifolia.webp,Yes,Deciduous,Outside Trafford,How does Indian Elm spread its seeds effectively?,Through animal consumption,By water currents,Fruits falling near the tree,Winged fruits carried by wind,D
Hyophorbe indica,Champagne Palm,Indian Bottle Palm,Arecaceae,Introduced,"Endemic to the Mascarene Islands, the Champagne Palm is highly threatened due to habitat loss and invasive species. While endangered in the wild, it is cultivated  in tropical and subtropical regions across the world.","Mauritius, South_Asia, Southeast_Asia, Southern_China, Northern_Africa, Central_America, Middle_East, SubSaharan_Africa","This palm thrives in moist well drained soil and tropical climates, growing well in both full sun and full shade. ",Animations\Flora\Single Plants\Hyophorbe_indica.mp4,Images\Illustrations\Trees\Hyophorbe_indica.webp,upto 10 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Hyophorbe_indica_01.webp,Images\Flora\Hyophorbe_indica_02.webp,Images\Flora\Hyophorbe_indica_03.webp,Endangered,EN,"Champagne Palm is a small to medium-sized palm growing about 6 - 10 meters tall, with a slender grey trunk marked by clear leaf scars. The crown is formed by gracefully arching, feather-like (pinnate) leaves and a smooth, pale-green crownshaft that gives the palm a neat, elegant appearance. Clusters of small yellowish flowers emerge just below the crownshaft, followed by oval fruits that turn orange to red when ripe. The common name ""Palmiste Poison"" comes from reports that parts of the plant may be toxic, particularly to livestock. Closely related to the Bottle Palm, this species is admired mainly for its refined form and rarity.","Champagne Palm was once close to extinction in the wild, with only a few known individuals, leading to focused conservation efforts to save the species.","Although not a major forest species, the palm contributes to island ecosystems by providing shelter for insects and small fauna. Its cultivation in gardens and parks helps conserve genetic stock and reduces pressure on remaining wild populations.",There are no known traditional medicinal uses for this palm. It is not commonly used in herbal medicine.,The fruits are not edible and the species has no known culinary applications.,"Native to the Mascarene Islands, Champagne Palm is part of the region's unique botanical heritage. Its rarity has made it an important symbol of plant conservation. Botanical gardens and conservation organizations cultivate it to protect the species and it is widely valued as an ornamental palm in tropical landscapes.","Bark (Trunk): Slender and grey, marked with distinct leaf scars, giving the palm a clean appearance.

Leaves: Pinnate, gracefully arching, forming a compact and elegant crown.

Flowers & Fruit: Small yellowish flowers bloom below the crownshaft; oval fruits ripen from green to orange-red and are non-edible.",Animations\Flora\Buttons\Hyophorbe_indica.webp,Yes,Evergreen,Tennis Court Garden,Why is Champagne Palm considered important today?,It is widely used as a food,It is the tallest palm species,For timber production,It is rare,D
Lagerstroemia speciosa,Queen of Flowers,"Pride of India, Taman",Lythraceae,Native,"Queen of Flowers is native to tropical South and Southeast Asia, including India, Bangladesh, Sri Lanka, Myanmar, Thailand, Laos, Cambodia, Vietnam, Malaysia, the Philippines and Indonesia. It has been introduced to tropical regions worldwide including Africa, the Caribbean and Central America.","India, Bangladesh, Sri_Lanka, Myanmar, Thailand, Laos, Cambodia, Vietnam, Malaysia, Philippines, Indonesia, South_Asia, Southeast_Asia, SubSaharan_Africa, Caribbean, Central_America","This tree thrives in warm, humid climates and grows best in moist, well-drained loamy soils. It is often planted along roadsides, riverbanks, parks and gardens for its shade and ornamental value.",Animations\Flora\Single Plants\Lagerstroemia_speciosa.mp4,Images\Illustrations\Trees\Lagerstroemia_speciosa.webp,15 - 20 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Lagerstroemia_speciosa_01.webp,Images\Flora\Lagerstroemia_speciosa_02.webp,Images\Flora\Lagerstroemia_speciosa_03.webp,Least Concern,LC,"Queen of Flowers is a medium to large deciduous tree growing about 10 - 20 meters tall, with a straight trunk and a wide, spreading crown. It is admired for its spectacular clusters of crinkled, crepe-like flowers in shades of pink, lavender and purple that bloom from late spring into the early monsoon. The bark is smooth and grey, peeling in patches to reveal a lighter surface beneath. Leaves are simple, opposite and oblong, turning reddish or orange before falling, which adds seasonal colour even before flowering begins. After blooming, woody, oval capsules form, containing many winged seeds. The wood is light yet durable and has been traditionally used for boats, furniture and agricultural tools.","The crinkled texture of the flowers looks like crepe fabric, which is why the tree is often called the Queen's Crape Myrtle. It is also the state flower of Maharashtra. ","The flowers provide rich nectar for bees, butterflies and birds, supporting urban and semi-urban biodiversity. Its broad canopy offers shade and improves microclimates, while the strong root system helps prevent soil erosion. The tree adapts well to varied soils, making it useful in afforestation and watershed management projects.","Highly valued in traditional medicine, the leaves contain corosolic acid, known to help regulate blood sugar. Leaf decoctions are used for diabetes, diarrhea and urinary tract infections. Bark and roots are used as astringents and tonics for fever, dysentery and digestive disorders. Modern studies support its antioxidant, antimicrobial, liver-protective and weight-management properties.","The leaves are dried and brewed as herbal tea in several Southeast Asian countries, popularly known as Banaba tea. The tea is consumed for its mild taste and health benefits, especially for blood sugar control and detoxification. Young leaves are occasionally used in medicinal soups rather than regular cooking.","Queen of Flowers symbolizes royalty, beauty and renewal across India and Southeast Asia. It is the state flower of Maharashtra, where it represents pride and grace and appears in local art and literature. The flowers are offered in temple rituals and the tree is often planted near sacred spaces, avenues and public parks for its long blooming season and ornamental value.","Bark: Smooth and exfoliating; used traditionally as an astringent and tonic.

Leaves: Oblong and seasonally colourful; used medicinally and for herbal teas.

Flowers & Fruit: Large, crepe-textured flowers bloom in late spring to monsoon; woody capsules with winged seeds form after flowering.",Animations\Flora\Buttons\Lagerstroemia_speciosa.webp,Yes,Evergreen,Pavement opposite Kavesar Garden Entrance ,What makes the Queen of Flowers especially valuable in traditional medicine?,Its fragrant wood,Its winged seeds,Sugar regulating leaves,Its brightly coloured bark,C
Madhuca indica,Mahua,"Butter Tree, Mahura",Sapotaceae,Native,"Endemic to the Indian Subcontinent, mainly the plains of peninsular India, Bangladesh, Nepal, Myanmar and Sri Lanka","India, Bangladesh, Nepal, Myanmar, Sri_Lanka, ","The Mahua thrives in warm and humid climate and is widely cultivated for its oil-rich seeds, flowers and wood. Remarkably hardy, it also adapt to arid or dry environments making it a common tree in the tropical mixed deciduous forests of Maharashtra, Odisha, Chhattisgarh, Jharkhand, Uttar Pradesh, Bihar andhra Pradesh, Madhya Pradesh, Kerala, Gujarat, West Bengal and Tamil Nadu. ",Animations\Flora\Single Plants\Madhuca_indica.mp4,Images\Illustrations\Trees\Madhuca_indica.webp,16 - 20 m,"In ideal conditions, mature trees can reach up to 25 meters.",Images\Flora\Madhuca_indica_01.webp,Images\Flora\Madhuca_indica_02.webp,Images\Flora\Madhuca_indica_03.webp,Least Concern,LC,"The Mahua is a fast-growing deciduous tree, though it may remain semi-evergreen in moist areas. It develops a wide, shady crown and thick trunk, with new leaves appearing just before the flowering season. Each mature tree can yield between 20 and 200 kilograms of seeds annually, depending on its age and growing conditions.","The Mahua is one of the top carbon-storing native trees. A single mature Mahua can lock away hundreds of kilograms of carbon, equivalent to several tons of carbon dioxide removed from the atmosphere over its lifetime. ","Mahua flowers and fruits provide food for bats and other wildlife. The seed cake left after oil extraction makes an excellent natural fertilizer, enriching the soil and supporting healthy plant growth around it.","Valued in traditional medicine for its many healing properties, various parts of the Mahua tree including the bark, flowers and seeds can be used to treat ailments like skin infections, coughs and joint pain. The flowers are known for their cooling effect and are sometimes used in tonics, while the seed oil is applied externally to soothe skin and relieve rheumatic pain.","The Mahua has long been a source of nourishment for many tribal communities. Oil extracted from its seeds is traditionally used for cooking and is now also used in making soaps, detergents, vegetable butter and even fuel oil.

Its sweet, fragrant flowers are just as versatile and are used to make jam, a local wine called mahuda and even ground into flour for breads in parts of Bihar. The sun-dried flowers can also be fried and eaten as a natural, sugar-rich treat.
","The Mahua tree holds deep cultural and spiritual value for many tribal communities across India. Every part of the tree, its flowers, fruits and seeds is useful as food or for oil. Because of this, the tree is seen as sacred and temples or shrines are often found near it in tribal villages. ","Bark: The bark of the Mahua tree is thick, greyish-brown and slightly rough in texture.

Leaves: The leaves are large, oval and leathery, with smooth edges and a glossy green surface. They form a dense canopy that provides cool shade and shelter for Floras and animals. Leaves are shed briefly in summer, just before flowering.

Flowers & Fruit: Mahua flowers are small, cream-coloured and bell-shaped. They bloom at night in dense clusters between February and April, attracting bees and bats. The fleshy, oval fruits turn yellowish-green when ripe and are eaten by both animals and people. 
",Animations\Flora\Buttons\Madhuca_indica.webp,Yes,Deciduous,Windor Bldg,"What makes the Mahua tree especially valuable to people and wildlife?
",Big leaves,Oil-rich seeds and flowers,Tall height,Smooth bark,B
Magnolia champaca,Champak,Son Chafa,Magnoliaceae,Native,"The Champak is native to South and Southeast Asia, including India, Nepal, Sri Lanka, Myanmar, Thailand and Indonesia. ","India, Nepal, Sri_Lanka, Myanmar, Thailand, Indonesia, South_Asia, Southeast_Asia","This tree thrives in tropical and subtropical forests, moist valleys and foothills, with humid climates and good rainfall. It is often planted in gardens and temple premisesfor its fragrance and ornamental value.",Animations\Flora\Single Plants\Magnolia_champaca.mp4,Images\Illustrations\Trees\Magnolia_champaca.webp,upto 50 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Magnolia_champaca_01.webp,Images\Flora\Magnolia_champaca_02.webp,Images\Flora\Magnolia_champaca_03.webp,Least Concern,LC,"Champak is a large evergreen tree growing about 15 - 30 meters tall and sometimes taller under ideal tropical conditions. It has a straight trunk and dense foliage made up of glossy, lance-shaped leaves arranged alternately along the branches. The tree is most celebrated for its yellow to orange flowers, which bloom through much of the year in warm climates. These flowers release a strong, sweet, exotic fragrance that becomes especially intense in the evening and at night. Belonging to the Magnoliaceae family, one of the oldest flowering plant lineages, Champak also provides fine-grained, aromatic timber used for high-quality woodwork.","Champak belongs to one of the most ancient groups of flowering trees and was originally pollinated by beetles, long before bees became common pollinators.","The fragrant flowers attract a range of pollinators, including bees, beetles, butterflies and nocturnal insects. Its evergreen canopy provides year-round shade and helps improve air quality in urban and temple landscapes. By supporting pollinator networks, the tree contributes to ecological stability in tropical environments.","In traditional medicine, the flowers are used to ease anxiety, nausea, asthma and excess body heat. The bark has anti-inflammatory, fever-reducing and antimicrobial properties and is used for skin problems, fever and rheumatism. Leaves are applied as poultices for swelling and inflammation. Champak essential oil is widely used in aromatherapy for its calming and uplifting effects, while seeds are used in traditional oils for hair and scalp care.","Champak does not have a significant role as a food plant. Its fragrance may be used indirectly in flavouring oils or herbal preparations, but it is not commonly consumed.","The Champa flower is sacred in Hinduism and Buddhism and is closely associated with purity, devotion and spiritual awakening. The tree is often planted near temples and its flowers are used in rituals, garlands and offerings. In Southeast Asia, Champak flowers are widely used in ceremonies, festive decorations and traditional adornments.","Bark: Aromatic and medicinally valued for treating fever, inflammation and skin ailments.

Leaves: Glossy and lance-shaped; used in poultices and provide dense evergreen shade.

Flowers & Fruit: Highly fragrant yellow to orange flowers bloom for much of the year; flowers are used in perfumery, rituals and aromatherapy.",Animations\Flora\Buttons\Magnolia_champaca.webp,Yes,Evergreen,Apollo,Why is Champak especially important in the perfume industry?,Leaves produce aromatic oils,Wood has a strong fragrance,Flowers yield fragrance,Fruits used for essential oils,C
